Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADAM6,147908.6078,86534.87925,2.992217092,0.003055514,0.023465373,-4.545584821
LOC96610,62570.15721,36674.97634,3.86495891,0.000142692,0.002235829,-4.510287409
CD74,53420.33485,60689.35293,6.678826246,1.63E-10,1.18E-08,-4.356905914
B2M,43459.59355,57746.8843,8.693764734,5.36E-16,2.65E-13,-4.227147256
HLA-B,19670.79684,42810.71529,3.946096163,0.000104074,0.00174279,-4.50664465
HLA-DRA,18009.67283,15963.52222,10.68623891,4.29E-22,4.07E-18,-4.096801231
PGC,17606.59572,9699.402236,1.784935501,0.075521438,0.215828187,-4.581217718
IGJ,17435.05358,10946.65257,2.381935369,0.017993841,0.082547189,-4.565646497
COL1A1,16115.71726,48141.04143,1.965887477,0.05045234,0.165641534,-4.576938301
LYZ,15843.6197,20558.81562,2.713007355,0.007145426,0.0429118,-4.555263307
COL3A1,15752.1956,32676.94935,2.66983151,0.008101777,0.046987332,-4.556685636
HLA-A,15358.37733,36239.29071,3.465616666,0.000625487,0.00721209,-4.527347463
HLA-C,11627.29328,28455.16624,4.036403331,7.28E-05,0.001312109,-4.502522757
COL1A2,9409.772182,32163.56491,1.852607003,0.065153502,0.195832333,-4.579662946
FN1,7605.238468,20143.28842,1.990740889,0.047631598,0.159034991,-4.576320222
LCN2,7165.463526,9742.726005,1.969939627,0.049983052,0.164630479,-4.576838025
HLA-DPA1,7025.125317,5898.04276,9.544700609,1.55E-18,1.68E-15,-4.171149606
C3,6742.759284,10968.8946,3.257716785,0.001283724,0.012535506,-4.535631611
HSPA8,6697.439812,27562.72047,2.809190323,0.005371434,0.034459488,-4.552022597
SPARC,6686.591707,17880.84713,2.763788973,0.006151871,0.038498124,-4.553564674
HLA-DRB1,6658.131831,6664.926818,7.668120291,4.21E-13,5.93E-11,-4.294153794
HLA-E,6058.375145,10943.70599,8.231206411,1.15E-14,2.80E-12,-4.257509398
STAT1,5576.006371,6523.138209,9.648862953,7.46E-19,1.02E-15,-4.164310767
OLFM4,5392.647828,10325.9814,1.305250928,0.19304425,0.392733519,-4.59064608
TAP1,5232.20918,6141.161814,7.354546941,2.94E-12,3.26E-10,-4.314318682
TPT1,5111.353777,70717.82143,1.332003643,0.184109242,0.381175704,-4.590194742
AGR2,4916.657446,21633.05858,1.206096029,0.228955623,0.437058161,-4.592241106
PGA3,4907.805634,2169.89563,1.703362426,0.089781144,0.241971053,-4.583018849
WARS,4877.908139,7101.325149,4.201970109,3.72E-05,0.000746375,-4.494785669
CTSB,4741.780856,27615.62561,2.165611244,0.031315985,0.120816654,-4.571767007
PSAP,4616.173965,26686.15129,2.992467763,0.003053097,0.02345784,-4.545575764
MUC6,4564.887657,6811.690551,1.509110627,0.132572031,0.309834463,-4.586983345
ANPEP,4286.286803,7816.135762,1.119874075,0.263875128,0.477690344,-4.593528062
COL6A3,4203.155361,8405.337106,3.370296537,0.000873499,0.009432282,-4.531197987
UBD,4119.950374,3296.372595,5.834505542,1.72E-08,8.13E-07,-4.407775006
IGF2,4083.541505,3412.769054,1.046361464,0.296435801,0.51080816,-4.594551464
CFB,3976.628925,4916.711042,4.449544154,1.31E-05,0.000309117,-4.482797511
IFITM1,3759.485919,8730.266296,3.510711961,0.000532716,0.006348648,-4.525495392
HLA-DPB1,3637.369407,3702.013961,7.212771872,6.96E-12,6.98E-10,-4.32336171
APOE,3637.167004,4862.374371,3.655798998,0.000314337,0.004199814,-4.5194064
CTSD,3636.46048,18179.73069,2.889888771,0.004202835,0.029247359,-4.549227532
ATP5B,3407.031178,16175.37649,2.847858416,0.004778893,0.031947382,-4.550691898
IFITM3,3308.705497,12857.21989,2.303011571,0.02212512,0.095162497,-4.567941313
HLA-DRB5,3273.331761,2697.365711,5.248402393,3.35E-07,1.23E-05,-4.441014374
LTF,3269.374839,5906.912644,1.081576701,0.280514824,0.494154241,-4.594069718
PSCA,3268.929418,1806.150218,1.34969995,0.178370584,0.373142978,-4.589891306
APOL1,3119.623573,5818.829447,3.706043818,0.000260834,0.003599865,-4.5172521
HLA-DQB1,3040.711217,3036.622336,6.990665879,2.63E-11,2.30E-09,-4.3374208
RNF213,3031.995155,4883.475157,6.119826605,3.74E-09,2.03E-07,-4.390935493
LUM,2973.187846,6809.67816,2.98824353,0.003094074,0.023683517,-4.54572831
C1QB,2940.899036,3233.561928,4.70360169,4.29E-06,0.00011802,-4.470000487
TGM2,2914.250745,4256.837686,4.097662164,5.69E-05,0.001062409,-4.499686943
LAPTM5,2818.44202,3823.163119,7.246712336,5.67E-12,5.86E-10,-4.32120146
SOD2,2805.623959,8109.298592,3.308839496,0.001079178,0.010994747,-4.533633751
UBB,2781.49504,16481.5198,2.401871333,0.017064484,0.079603382,-4.565055702
S100P,2780.156856,4862.771447,2.548632244,0.011431972,0.060326376,-4.560569702
C4A,2750.246029,4248.320737,3.376333336,0.000855402,0.009267521,-4.530956736
IFI30,2736.938767,5663.474959,4.696883439,4.43E-06,0.000121021,-4.47034508
ASS1,2735.168506,5816.938764,2.683662021,0.007783568,0.045630994,-4.55623222
HLA-DQA1,2703.121208,1949.63366,8.062559549,3.42E-14,6.98E-12,-4.268531086
TMSL3,2695.009226,50623.47179,0.472117827,0.637267159,0.795098648,-4.600178925
COL6A1,2681.170178,7673.661896,2.632916143,0.009009269,0.050634884,-4.557885677
SERPING1,2615.784994,5620.592804,3.618078332,0.000361125,0.004672014,-4.521008391
