sample_id,B2M,C1S,CD74,CFB,CTSS,HLA-A,HLA-B,HLA-C,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-E,IDO1,IFI30,IFITM1,RNF213,SERPING1,SOD2,STAT1,TAP1,label
GSM971962,10.20984,11.04061219,8.730496552,6.464627407,8.622031049,12.57751229,12.61709666,11.9418902,7.464706395,11.67469386,9.597122264,10.72161952,7.01525607,11.09926854,11.3353643,6.274590745,9.884949425,7.97849202,8.683506156,8.777494246,HotHigh
GSM971963,10.58135994,9.85153686,10.01575465,7.639213369,10.16549242,13.67141503,13.51468446,12.82719385,8.845295673,12.95224889,9.592494657,11.73366303,12.23730984,12.24844185,12.84826281,7.988435395,10.36774079,8.106449324,10.89724101,11.24699326,HotHigh
GSM971969,10.00440154,8.76147265,8.764755076,7.685563773,9.713059531,13.17067047,13.25989596,12.51419485,8.408257985,12.17932863,8.89597353,11.19896802,7.923837945,11.15136234,13.0412092,6.36158138,7.868628171,7.430605354,10.10608311,10.53302052,HotHigh
GSM971970,10.13407022,7.291920083,7.616486084,6.089428016,7.632114762,12.92182272,12.73446696,11.99671974,5.525535197,8.745860664,6.879853357,10.75190734,5.542743774,9.268374902,11.77140435,5.832906709,6.055307811,7.230095172,7.874088397,9.339334681,ColdLow
GSM971971,10.16388002,8.853122546,8.635680676,7.031369893,9.358768389,12.18001003,12.12138651,11.45763708,7.169282702,11.95252744,10.03432195,10.75875318,8.537143936,10.77260397,12.54653256,6.27108083,7.437966136,7.424811204,9.68024888,9.956972999,HotHigh
GSM971972,9.986511306,8.933389851,8.050130696,5.425681767,8.694884617,12.30168195,12.09040311,11.65563322,5.721762303,9.771173122,7.436328746,9.971804209,6.480253493,10.04616243,10.95835691,5.993912372,8.260982443,6.32286256,8.03386188,8.501122029,ColdLow
GSM971977,10.05229723,9.093954948,8.089277903,5.841461457,8.901161739,12.36293873,12.24903627,11.55447675,5.409710409,11.3086262,8.427450109,10.37991047,7.09496866,10.89413791,11.82930974,6.341291062,8.574785051,7.791279007,8.65231176,8.995144718,HotLow
GSM971978,10.21090702,8.03546291,8.312705648,6.510076478,8.916457514,12.49188606,12.32625928,11.66089065,6.305239619,11.32607874,8.744235884,10.58409754,7.694251721,10.93708474,12.09719238,6.239007082,7.781371442,7.280101201,9.184212397,10.27417662,HotHigh
GSM971979,9.902945179,7.119704197,7.014459203,5.298275212,8.239529927,11.9336274,11.14937476,10.811435,6.635444049,9.425350961,7.586379298,9.581547992,5.52472271,10.15148415,11.70648229,6.042768255,6.81432044,8.521751444,7.467800059,8.441210947,ColdLow
GSM971980,11.03570842,7.898323933,7.712620739,6.802127569,9.700940129,13.33491562,13.11286484,12.55415925,7.622542425,10.81305945,9.183265141,11.16611817,9.957717539,10.33598843,12.75814972,6.852101559,8.37145539,8.384044535,9.516474623,10.3523543,HotHigh
